ultiProState,colleagueState
SK,SK
OK,OK
VA,VA
CZ,CZ
AA,AA
AP,AP
PA,PA
AZ,AZ
WA,WA
CA,CA
IA,IA
GA,GA
LA,LA
MA,MA
GU,GU
AK,AK
MP,MP
NU,NU
AL,AL
FL,FL
WV,WV
IL,IL
NB,NB
NV,NV
MB,MB
AB,AB
NL,NL
SC,SC
NH,NH
NM,NM
DC,DC
AR,AR
BC,BC
PR,PR
OH,OH
QC,QC
PW,PW
NC,NC
OR,OR
AS,AS
TN,TN
ID,ID
WI,WI
NS,NS
MD,MD
MN,MN
KS,KS
MI,MI
IN,IN
MS,MS
ND,ND
HI,HI
TX,TX
VI,VI
RI,RI
SD,SD
ON,ON
DE,DE
WY,WY
CO,CO
NY,NY
NE,NE
AE,AE
UT,UT
PE,PE
CT,CT
ME,ME
YT,YT
MO,MO
NJ,NJ
VT,VT
KY,KY
MT,MT
TT,TT
NT,NT
